YearMonth,YearAndFraction,SSN_OBS_SWO,SSN_OBS_RI,Ratio_RI_SW,SM_SWO,SM_RI,RF_OBS_10.7cm,RF_SM_10.7cm,GEO_OBS_Ap,GEO_SM_Ap,GSY_AvMnthT_C
175205,1752.378,,59.7,,,47.8,,,,,
175206,1752.460,,39.6,,,48.0,,,,,
175207,1752.545,,78.4,,,48.2,,,,,
175208,1752.630,,29.3,,,47.8,,,,,
175209,1752.712,,27.1,,,46.0,,,,,
175210,1752.797,,46.6,,,44.1,,,,,
175211,1752.879,,37.6,,,42.2,,,,,
175212,1752.964,,40.0,,,40.9,,,,,
175301,1753.049,,44.0,,,38.2,,,,,
175302,1753.128,,32.0,,,36.2,,,,,
175303,1753.210,,45.7,,,36.7,,,,,
175304,1753.292,,38.0,,,35.8,,,,,
175305,1753.377,,36.0,,,34.2,,,,,
175306,1753.459,,31.7,,,32.1,,,,,
175307,1753.544,,22.0,,,28.8,,,,,
175308,1753.629,,39.0,,,25.8,,,,,
175309,1753.711,,28.0,,,22.8,,,,,
175310,1753.796,,25.0,,,19.9,,,,,
175311,1753.878,,20.0,,,18.3,,,,,
175312,1753.963,,6.7,,,17.4,,,,,
175401,1754.048,,0.0,,,17.1,,,,,
175402,1754.127,,3.0,,,15.8,,,,,
175403,1754.209,,1.7,,,13.9,,,,,
175404,1754.292,,13.7,,,13.0,,,,,
175405,1754.376,,20.7,,,12.7,,,,,
175406,1754.459,,26.7,,,12.3,,,,,
175407,1754.543,,18.8,,,12.6,,,,,
175408,1754.628,,12.3,,,13.4,,,,,
175409,1754.710,,8.2,,,14.0,,,,,
175410,1754.795,,24.1,,,13.9,,,,,
175411,1754.877,,13.2,,,12.7,,,,,
175412,1754.962,,4.2,,,10.7,,,,,
175501,1755.047,,10.2,,,9.2,,,,,
175502,1755.127,,11.2,,,8.4,,,,,
175503,1755.209,,6.8,,,8.4,,,,,
175504,1755.291,,6.5,,,8.8,,,,,
175505,1755.376,,0.0,,,8.5,,,,,
175506,1755.458,,0.0,,,8.9,,,,,
175507,1755.543,,8.6,,,9.7,,,,,
175508,1755.628,,3.2,,,9.6,,,,,
175509,1755.710,,17.8,,,9.4,,,,,
175510,1755.795,,23.7,,,9.4,,,,,
175511,1755.877,,6.8,,,10.1,,,,,
175512,1755.962,,20.0,,,11.1,,,,,
175601,1756.047,,12.5,,,11.4,,,,,
175602,1756.129,,7.1,,,11.4,,,,,
175603,1756.211,,5.4,,,11.3,,,,,
175604,1756.293,,9.4,,,10.6,,,,,
175605,1756.378,,12.5,,,10.7,,,,,
175606,1756.460,,12.9,,,10.6,,,,,
175607,1756.545,,3.6,,,10.3,,,,,
175608,1756.630,,6.4,,,10.9,,,,,
175609,1756.712,,11.8,,,12.4,,,,,
175610,1756.797,,14.3,,,14.1,,,,,
175611,1756.879,,17.0,,,16.0,,,,,
175612,1756.964,,9.4,,,17.1,,,,,
175701,1757.049,,14.1,,,18.0,,,,,
175702,1757.128,,21.2,,,20.7,,,,,
175703,1757.210,,26.2,,,23.8,,,,,
175704,1757.292,,30.0,,,25.7,,,,,
175705,1757.377,,38.1,,,28.4,,,,,
175706,1757.459,,12.8,,,31.4,,,,,
175707,1757.544,,25.0,,,33.4,,,,,
175708,1757.629,,51.3,,,35.7,,,,,
175709,1757.711,,39.7,,,37.9,,,,,
175710,1757.796,,32.5,,,40.6,,,,,
175711,1757.878,,64.7,,,42.7,,,,,
175712,1757.963,,33.5,,,44.4,,,,,
175801,1758.048,,37.6,,,46.5,,,,,
175802,1758.127,,52.0,,,46.8,,,,,
175803,1758.209,,49.0,,,47.2,,,,,
175804,1758.292,,72.3,,,48.4,,,,,
175805,1758.376,,46.4,,,47.7,,,,,
175806,1758.459,,45.0,,,47.2,,,,,
175807,1758.543,,44.0,,,48.0,,,,,
175808,1758.628,,38.7,,,48.2,,,,,
175809,1758.710,,62.5,,,47.7,,,,,
175810,1758.795,,37.7,,,46.6,,,,,
175811,1758.877,,43.0,,,45.6,,,,,
175812,1758.962,,43.0,,,46.0,,,,,
175901,1759.047,,48.3,,,46.5,,,,,
175902,1759.127,,44.0,,,48.1,,,,,
175903,1759.209,,46.8,,,50.1,,,,,
175904,1759.291,,47.0,,,51.6,,,,,
175905,1759.376,,49.0,,,52.7,,,,,
175906,1759.458,,50.0,,,53.4,,,,,
175907,1759.543,,51.0,,,54.8,,,,,
175908,1759.628,,71.3,,,56.2,,,,,
175909,1759.710,,77.2,,,58.0,,,,,
175910,1759.795,,59.7,,,59.6,,,,,
175911,1759.877,,46.3,,,61.1,,,,,
175912,1759.962,,57.0,,,62.0,,,,,
176001,1760.047,,67.3,,,62.5,,,,,
176002,1760.129,,59.5,,,63.3,,,,,
176003,1760.211,,74.7,,,62.8,,,,,
176004,1760.293,,58.3,,,61.8,,,,,
176005,1760.378,,72.0,,,62.0,,,,,
176006,1760.460,,48.3,,,62.7,,,,,
176007,1760.545,,66.0,,,63.0,,,,,
176008,1760.630,,75.6,,,64.4,,,,,
176009,1760.712,,61.3,,,66.0,,,,,
176010,1760.797,,50.6,,,66.8,,,,,
176011,1760.879,,59.7,,,68.8,,,,,
176012,1760.964,,61.0,,,72.4,,,,,
176101,1761.049,,70.0,,,75.7,,,,,
176102,1761.128,,91.0,,,77.5,,,,,
176103,1761.210,,80.7,,,79.8,,,,,
176104,1761.292,,71.7,,,83.0,,,,,
176105,1761.377,,107.2,,,85.8,,,,,
176106,1761.459,,99.3,,,86.5,,,,,
176107,1761.544,,94.1,,,84.8,,,,,
176108,1761.629,,91.1,,,82.9,,,,,
176109,1761.711,,100.7,,,80.7,,,,,
176110,1761.796,,88.7,,,78.8,,,,,
176111,1761.878,,89.7,,,75.5,,,,,
176112,1761.963,,46.0,,,71.7,,,,,
176201,1762.048,,43.8,,,68.3,,,,,
176202,1762.127,,72.8,,,64.8,,,,,
176203,1762.209,,45.7,,,62.5,,,,,
176204,1762.292,,60.2,,,60.4,,,,,
176205,1762.376,,39.9,,,59.0,,,,,
176206,1762.459,,77.1,,,59.8,,,,,
176207,1762.543,,33.8,,,61.7,,,,,
176208,1762.628,,67.7,,,60.5,,,,,
176209,1762.710,,68.5,,,58.3,,,,,
176210,1762.795,,69.3,,,56.7,,,,,
176211,1762.877,,77.8,,,55.3,,,,,
176212,1762.962,,77.2,,,53.2,,,,,
176301,1763.047,,56.5,,,52.4,,,,,
176302,1763.127,,31.9,,,51.5,,,,,
176303,1763.209,,34.2,,,49.8,,,,,
176304,1763.291,,32.9,,,48.8,,,,,
176305,1763.376,,32.7,,,47.1,,,,,
176306,1763.458,,35.8,,,45.8,,,,,
176307,1763.543,,54.2,,,45.3,,,,,
176308,1763.628,,26.5,,,46.5,,,,,
176309,1763.710,,68.1,,,47.9,,,,,
176310,1763.795,,46.3,,,48.3,,,,,
176311,1763.877,,60.9,,,48.8,,,,,
176312,1763.962,,61.4,,,49.1,,,,,
176401,1764.047,,59.7,,,47.8,,,,,
176402,1764.129,,59.7,,,46.9,,,,,
176403,1764.211,,40.2,,,45.4,,,,,
176404,1764.293,,34.4,,,43.0,,,,,
176405,1764.378,,44.3,,,40.8,,,,,
176406,1764.460,,30.0,,,37.8,,,,,
176407,1764.545,,30.0,,,34.9,,,,,
176408,1764.630,,30.0,,,32.0,,,,,
176409,1764.712,,28.2,,,29.9,,,,,
176410,1764.797,,28.0,,,28.8,,,,,
176411,1764.879,,26.0,,,27.3,,,,,
176412,1764.964,,25.7,,,25.8,,,,,
176501,1765.049,,24.0,,,25.3,,,,,
176502,1765.128,,26.0,,,25.2,,,,,
176503,1765.210,,25.0,,,24.6,,,,,
176504,1765.292,,22.0,,,23.6,,,,,
176505,1765.377,,20.2,,,22.5,,,,,
176506,1765.459,,20.0,,,21.4,,,,,
176507,1765.544,,27.0,,,20.4,,,,,
176508,1765.629,,29.7,,,19.3,,,,,
176509,1765.711,,16.0,,,19.1,,,,,
176510,1765.796,,14.0,,,19.0,,,,,
176511,1765.878,,14.0,,,18.6,,,,,
176512,1765.963,,13.0,,,18.1,,,,,
176601,1766.048,,12.0,,,16.4,,,,,
176602,1766.127,,11.0,,,14.4,,,,,
176603,1766.209,,36.6,,,12.8,,,,,
176604,1766.292,,6.0,,,12.0,,,,,
176605,1766.376,,26.8,,,11.2,,,,,
176606,1766.459,,3.0,,,11.2,,,,,
176607,1766.543,,3.3,,,12.1,,,,,
176608,1766.628,,4.0,,,13.5,,,,,
176609,1766.710,,4.3,,,14.5,,,,,
176610,1766.795,,5.0,,,15.9,,,,,
176611,1766.877,,5.7,,,17.2,,,,,
176612,1766.962,,19.2,,,18.6,,,,,
176701,1767.047,,27.4,,,20.6,,,,,
176702,1767.127,,30.0,,,22.9,,,,,
176703,1767.209,,43.0,,,26.0,,,,,
176704,1767.291,,32.9,,,29.3,,,,,
176705,1767.376,,29.8,,,32.9,,,,,
176706,1767.458,,33.3,,,36.4,,,,,
176707,1767.543,,21.9,,,38.9,,,,,
176708,1767.628,,40.8,,,41.5,,,,,
176709,1767.710,,42.7,,,43.1,,,,,
176710,1767.795,,44.1,,,43.7,,,,,
176711,1767.877,,54.7,,,46.1,,,,,
176712,1767.962,,53.3,,,49.9,,,,,
176801,1768.047,,53.5,,,53.0,,,,,
176802,1768.129,,66.1,,,55.4,,,,,
176803,1768.211,,46.3,,,57.8,,,,,
176804,1768.293,,42.7,,,60.6,,,,,
176805,1768.378,,77.7,,,63.5,,,,,
176806,1768.460,,77.4,,,67.4,,,,,
176807,1768.545,,52.6,,,70.7,,,,,
176808,1768.630,,66.8,,,71.5,,,,,
176809,1768.712,,74.8,,,72.1,,,,,
176810,1768.797,,77.8,,,75.1,,,,,
176811,1768.879,,90.6,,,77.2,,,,,
176812,1768.964,,111.8,,,77.8,,,,,
176901,1769.049,,73.9,,,81.2,,,,,
176902,1769.128,,64.2,,,86.2,,,,,
176903,1769.210,,64.3,,,91.5,,,,,
176904,1769.292,,96.7,,,97.9,,,,,
176905,1769.377,,73.6,,,103.7,,,,,
176906,1769.459,,94.4,,,106.1,,,,,
176907,1769.544,,118.6,,,107.3,,,,,
176908,1769.629,,120.3,,,111.9,,,,,
176909,1769.711,,148.8,,,115.8,,,,,
176910,1769.796,,158.2,,,114.5,,,,,
176911,1769.878,,148.1,,,112.5,,,,,
176912,1769.963,,112.0,,,111.9,,,,,
177001,1770.048,,104.0,,,111.0,,,,,
177002,1770.127,,142.5,,,110.9,,,,,
177003,1770.209,,80.1,,,109.3,,,,,
177004,1770.292,,51.0,,,105.2,,,,,
177005,1770.376,,70.1,,,102.3,,,,,
177006,1770.459,,83.3,,,101.2,,,,,
177007,1770.543,,109.8,,,98.0,,,,,
177008,1770.628,,126.3,,,91.1,,,,,
177009,1770.710,,104.4,,,85.7,,,,,
177010,1770.795,,103.6,,,84.9,,,,,
177011,1770.877,,132.2,,,88.9,,,,,
177012,1770.962,,102.3,,,93.9,,,,,
177101,1771.047,,36.0,,,93.6,,,,,
177102,1771.127,,46.2,,,89.0,,,,,
177103,1771.209,,46.7,,,86.1,,,,,
177104,1771.291,,64.9,,,85.4,,,,,
177105,1771.376,,152.7,,,83.5,,,,,
177106,1771.458,,119.5,,,81.9,,,,,
177107,1771.543,,67.7,,,84.3,,,,,
177108,1771.628,,58.5,,,88.9,,,,,
177109,1771.710,,101.4,,,90.1,,,,,
177110,1771.795,,90.0,,,90.5,,,,,
177111,1771.877,,99.7,,,86.9,,,,,
177112,1771.962,,95.7,,,79.5,,,,,
177201,1772.047,,100.9,,,77.3,,,,,
177202,1772.129,,90.8,,,77.6,,,,,
177203,1772.211,,31.1,,,75.4,,,,,
177204,1772.293,,92.2,,,72.8,,,,,
177205,1772.378,,38.0,,,70.7,,,,,
177206,1772.460,,57.0,,,67.8,,,,,
177207,1772.545,,77.3,,,64.6,,,,,
177208,1772.630,,56.2,,,60.1,,,,,
177209,1772.712,,50.5,,,58.3,,,,,
177210,1772.797,,78.6,,,56.7,,,,,
177211,1772.879,,61.3,,,54.3,,,,,
177212,1772.964,,64.0,,,53.3,,,,,
177301,1773.049,,54.6,,,50.0,,,,,
177302,1773.128,,29.0,,,46.1,,,,,
177303,1773.210,,51.2,,,43.5,,,,,
177304,1773.292,,32.9,,,40.4,,,,,
177305,1773.377,,41.1,,,37.4,,,,,
177306,1773.459,,28.4,,,35.6,,,,,
177307,1773.544,,27.7,,,34.5,,,,,
177308,1773.629,,12.7,,,35.6,,,,,
177309,1773.711,,29.3,,,37.3,,,,,
177310,1773.796,,26.3,,,38.0,,,,,
177311,1773.878,,40.9,,,38.9,,,,,
177312,1773.963,,43.2,,,39.3,,,,,
177401,1774.048,,46.8,,,38.9,,,,,
177402,1774.127,,65.4,,,38.2,,,,,
177403,1774.209,,55.7,,,37.0,,,,,
177404,1774.292,,43.8,,,35.6,,,,,
177405,1774.376,,51.3,,,34.2,,,,,
177406,1774.459,,28.5,,,31.9,,,,,
177407,1774.543,,17.5,,,28.9,,,,,
177408,1774.628,,6.6,,,24.4,,,,,
177409,1774.710,,7.9,,,19.8,,,,,
177410,1774.795,,14.0,,,16.6,,,,,
177411,1774.877,,17.7,,,13.3,,,,,
177412,1774.962,,12.2,,,10.6,,,,,
177501,1775.047,,4.4,,,9.3,,,,,
177502,1775.127,,0.0,,,8.6,,,,,
177503,1775.209,,11.6,,,8.5,,,,,
177504,1775.291,,11.2,,,7.9,,,,,
177505,1775.376,,3.9,,,7.5,,,,,
177506,1775.458,,12.3,,,7.2,,,,,
177507,1775.543,,1.0,,,7.7,,,,,
177508,1775.628,,7.9,,,8.9,,,,,
177509,1775.710,,3.2,,,9.2,,,,,
177510,1775.795,,5.6,,,9.4,,,,,
177511,1775.877,,15.1,,,10.2,,,,,
177512,1775.962,,7.9,,,10.7,,,,,
177601,1776.047,,21.7,,,11.0,,,,,
177602,1776.129,,11.6,,,11.7,,,,,
177603,1776.211,,6.3,,,12.9,,,,,
177604,1776.293,,21.8,,,14.5,,,,,
177605,1776.378,,11.2,,,16.3,,,,,
177606,1776.460,,19.0,,,18.5,,,,,
177607,1776.545,,1.0,,,20.8,,,,,
177608,1776.630,,24.2,,,22.8,,,,,
177609,1776.712,,16.0,,,25.2,,,,,
177610,1776.797,,30.0,,,29.6,,,,,
177611,1776.879,,35.0,,,35.6,,,,,
177612,1776.964,,40.0,,,41.0,,,,,
177701,1777.049,,45.0,,,47.5,,,,,
177702,1777.128,,36.5,,,55.1,,,,,
177703,1777.210,,39.0,,,62.9,,,,,
177704,1777.292,,95.5,,,70.3,,,,,
177705,1777.377,,80.3,,,78.1,,,,,
177706,1777.459,,80.7,,,87.6,,,,,
177707,1777.544,,95.0,,,98.0,,,,,
177708,1777.629,,112.0,,,106.6,,,,,
177709,1777.711,,116.2,,,113.6,,,,,
177710,1777.796,,106.5,,,119.6,,,,,
177711,1777.878,,146.0,,,128.2,,,,,
177712,1777.963,,157.3,,,138.6,,,,,
177801,1778.048,,177.3,,,144.8,,,,,
177802,1778.127,,109.3,,,148.4,,,,,
177803,1778.209,,134.0,,,151.9,,,,,
177804,1778.292,,145.0,,,156.3,,,,,
177805,1778.376,,238.9,,,158.5,,,,,
177806,1778.459,,171.6,,,156.5,,,,,
177807,1778.543,,153.0,,,151.8,,,,,
177808,1778.628,,140.0,,,151.5,,,,,
177809,1778.710,,171.7,,,153.2,,,,,
177810,1778.795,,156.3,,,152.5,,,,,
177811,1778.877,,150.3,,,148.4,,,,,
177812,1778.962,,105.0,,,141.9,,,,,
177901,1779.047,,114.7,,,139.0,,,,,
177902,1779.127,,165.7,,,137.4,,,,,
177903,1779.209,,118.0,,,133.8,,,,,
177904,1779.291,,145.0,,,129.9,,,,,
177905,1779.376,,140.0,,,127.0,,,,,
177906,1779.458,,113.7,,,125.7,,,,,
177907,1779.543,,143.0,,,124.1,,,,,
177908,1779.628,,112.0,,,119.4,,,,,
177909,1779.710,,111.0,,,115.7,,,,,
177910,1779.795,,124.0,,,112.8,,,,,
177911,1779.877,,114.0,,,109.4,,,,,
177912,1779.962,,110.0,,,106.9,,,,,
178001,1780.047,,70.0,,,103.5,,,,,
178002,1780.129,,98.0,,,100.0,,,,,
178003,1780.211,,98.0,,,98.2,,,,,
178004,1780.293,,95.0,,,95.5,,,,,
178005,1780.378,,107.2,,,91.3,,,,,
178006,1780.460,,88.0,,,86.9,,,,,
178007,1780.545,,86.0,,,86.0,,,,,
178008,1780.630,,86.0,,,86.2,,,,,
178009,1780.712,,93.7,,,83.4,,,,,
178010,1780.797,,77.0,,,80.4,,,,,
178011,1780.879,,60.0,,,79.2,,,,,
178012,1780.964,,58.7,,,79.5,,,,,
178101,1781.049,,98.7,,,79.4,,,,,
178102,1781.128,,74.7,,,78.0,,,,,
178103,1781.210,,53.0,,,75.4,,,,,
178104,1781.292,,68.3,,,71.5,,,,,
178105,1781.377,,104.7,,,69.8,,,,,
178106,1781.459,,97.7,,,69.1,,,,,
178107,1781.544,,73.5,,,66.2,,,,,
178108,1781.629,,66.0,,,62.8,,,,,
178109,1781.711,,51.0,,,60.6,,,,,
178110,1781.796,,27.3,,,58.8,,,,,
178111,1781.878,,67.0,,,55.6,,,,,
178112,1781.963,,35.2,,,51.0,,,,,
178201,1782.048,,54.0,,,47.0,,,,,
178202,1782.127,,37.5,,,44.5,,,,,
178203,1782.209,,37.0,,,42.9,,,,,
178204,1782.292,,41.0,,,42.0,,,,,
178205,1782.376,,54.3,,,40.4,,,,,
178206,1782.459,,38.0,,,38.7,,,,,
178207,1782.543,,37.0,,,37.4,,,,,
178208,1782.628,,44.0,,,36.3,,,,,
178209,1782.710,,34.0,,,36.0,,,,,
178210,1782.795,,23.2,,,35.0,,,,,
178211,1782.877,,31.5,,,33.2,,,,,
178212,1782.962,,30.0,,,31.3,,,,,
178301,1783.047,,28.0,,,30.6,,,,,
178302,1783.127,,38.7,,,29.4,,,,,
178303,1783.209,,26.7,,,27.7,,,,,
178304,1783.291,,28.3,,,26.4,,,,,
178305,1783.376,,23.0,,,25.1,,,,,
178306,1783.458,,25.2,,,23.6,,,,,
178307,1783.543,,32.2,,,22.2,,,,,
178308,1783.628,,20.0,,,20.3,,,,,
178309,1783.710,,18.0,,,18.3,,,,,
178310,1783.795,,8.0,,,16.9,,,,,
178311,1783.877,,15.0,,,15.4,,,,,
178312,1783.962,,10.5,,,14.1,,,,,
178401,1784.047,,13.0,,,12.3,,,,,
178402,1784.129,,8.0,,,10.8,,,,,
178403,1784.211,,11.0,,,10.0,,,,,
178404,1784.293,,10.0,,,9.7,,,,,
178405,1784.378,,6.0,,,9.8,,,,,
178406,1784.460,,9.0,,,10.0,,,,,
178407,1784.545,,6.0,,,9.9,,,,,
178408,1784.630,,10.0,,,9.6,,,,,
178409,1784.712,,10.0,,,9.5,,,,,
178410,1784.797,,8.0,,,9.7,,,,,
178411,1784.879,,17.0,,,10.5,,,,,
178412,1784.964,,14.0,,,11.9,,,,,
178501,1785.049,,6.5,,,13.9,,,,,
178502,1785.128,,8.0,,,15.5,,,,,
178503,1785.210,,9.0,,,16.9,,,,,
178504,1785.292,,15.7,,,19.4,,,,,
178505,1785.377,,20.7,,,22.0,,,,,
178506,1785.459,,26.3,,,23.5,,,,,
178507,1785.544,,36.3,,,25.4,,,,,
178508,1785.629,,20.0,,,28.3,,,,,
178509,1785.711,,32.0,,,31.6,,,,,
178510,1785.796,,47.2,,,36.1,,,,,
178511,1785.878,,40.2,,,42.0,,,,,
178512,1785.963,,27.3,,,46.3,,,,,
178601,1786.048,,37.2,,,49.6,,,,,
178602,1786.127,,47.6,,,54.5,,,,,
178603,1786.209,,47.7,,,60.7,,,,,
178604,1786.292,,85.4,,,66.7,,,,,
178605,1786.376,,92.3,,,72.6,,,,,
178606,1786.459,,59.0,,,79.3,,,,,
178607,1786.543,,83.0,,,86.9,,,,,
178608,1786.628,,89.7,,,93.4,,,,,
178609,1786.710,,111.5,,,97.5,,,,,
178610,1786.795,,112.3,,,100.9,,,,,
178611,1786.877,,116.0,,,104.4,,,,,
178612,1786.962,,112.7,,,107.9,,,,,
178701,1787.047,,134.7,,,111.4,,,,,
178702,1787.127,,106.0,,,115.3,,,,,
178703,1787.209,,87.4,,,119.2,,,,,
178704,1787.291,,127.2,,,122.9,,,,,
178705,1787.376,,134.8,,,125.9,,,,,
178706,1787.458,,99.2,,,129.5,,,,,
178707,1787.543,,128.0,,,132.2,,,,,
178708,1787.628,,137.2,,,133.3,,,,,
178709,1787.710,,157.3,,,136.6,,,,,
178710,1787.795,,157.0,,,138.1,,,,,
178711,1787.877,,141.5,,,136.4,,,,,
178712,1787.962,,174.0,,,137.8,,,,,
178801,1788.047,,138.0,,,140.7,,,,,
178802,1788.129,,129.2,,,141.2,,,,,
178803,1788.211,,143.3,,,140.4,,,,,
178804,1788.293,,108.5,,,139.1,,,,,
178805,1788.378,,113.0,,,136.6,,,,,
178806,1788.460,,154.2,,,132.8,,,,,
178807,1788.545,,141.5,,,129.9,,,,,
178808,1788.630,,136.0,,,128.7,,,,,
178809,1788.712,,141.0,,,127.6,,,,,
178810,1788.797,,142.0,,,127.3,,,,,
178811,1788.879,,94.7,,,128.3,,,,,
178812,1788.964,,129.5,,,127.3,,,,,
178901,1789.049,,114.0,,,124.9,,,,,
178902,1789.128,,125.3,,,122.5,,,,,
178903,1789.210,,120.0,,,119.9,,,,,
178904,1789.292,,123.3,,,116.5,,,,,
178905,1789.377,,123.5,,,116.0,,,,,
178906,1789.459,,120.0,,,117.9,,,,,
178907,1789.544,,117.0,,,117.6,,,,,
178908,1789.629,,103.0,,,117.3,,,,,
178909,1789.711,,112.0,,,116.4,,,,,
178910,1789.796,,89.7,,,114.2,,,,,
178911,1789.878,,134.0,,,111.7,,,,,
178912,1789.963,,135.5,,,109.2,,,,,
179001,1790.048,,103.0,,,106.0,,,,,
179002,1790.127,,127.5,,,103.4,,,,,
179003,1790.209,,96.3,,,101.2,,,,,
179004,1790.292,,94.0,,,99.6,,,,,
179005,1790.376,,93.0,,,97.2,,,,,
179006,1790.459,,91.0,,,92.5,,,,,
179007,1790.543,,69.3,,,88.6,,,,,
179008,1790.628,,87.0,,,84.6,,,,,
179009,1790.710,,77.3,,,81.0,,,,,
179010,1790.795,,84.3,,,79.3,,,,,
179011,1790.877,,82.0,,,77.8,,,,,
179012,1790.962,,74.0,,,75.9,,,,,
179101,1791.047,,72.7,,,74.9,,,,,
179102,1791.127,,62.0,,,73.1,,,,,
179103,1791.209,,74.0,,,70.8,,,,,
179104,1791.291,,77.2,,,69.4,,,,,
179105,1791.376,,73.7,,,67.9,,,,,
179106,1791.458,,64.2,,,66.9,,,,,
179107,1791.543,,71.0,,,66.0,,,,,
179108,1791.628,,43.0,,,65.4,,,,,
179109,1791.710,,66.5,,,65.1,,,,,
179110,1791.795,,61.7,,,64.5,,,,,
179111,1791.877,,67.0,,,64.0,,,,,
179112,1791.962,,66.0,,,63.4,,,,,
179201,1792.047,,58.0,,,62.2,,,,,
179202,1792.129,,64.0,,,61.9,,,,,
179203,1792.211,,63.0,,,62.2,,,,,
179204,1792.293,,75.7,,,61.8,,,,,
179205,1792.378,,62.0,,,61.3,,,,,
179206,1792.460,,61.0,,,60.5,,,,,
179207,1792.545,,45.8,,,60.0,,,,,
179208,1792.630,,60.0,,,59.5,,,,,
179209,1792.712,,59.0,,,58.8,,,,,
179210,1792.797,,59.0,,,57.6,,,,,
179211,1792.879,,57.0,,,56.2,,,,,
179212,1792.964,,56.0,,,55.4,,,,,
179301,1793.049,,56.0,,,55.1,,,,,
179302,1793.128,,55.0,,,54.0,,,,,
179303,1793.210,,55.5,,,51.3,,,,,
179304,1793.292,,53.0,,,49.3,,,,,
179305,1793.377,,52.3,,,48.3,,,,,
179306,1793.459,,51.0,,,47.3,,,,,
179307,1793.544,,50.0,,,46.4,,,,,
179308,1793.629,,29.3,,,45.5,,,,,
179309,1793.711,,24.0,,,44.3,,,,,
179310,1793.796,,47.0,,,42.6,,,,,
179311,1793.878,,44.0,,,41.7,,,,,
179312,1793.963,,45.7,,,41.4,,,,,
179401,1794.048,,45.0,,,40.7,,,,,
179402,1794.127,,44.0,,,40.7,,,,,
179403,1794.209,,38.0,,,40.7,,,,,
179404,1794.292,,28.4,,,39.3,,,,,
179405,1794.376,,55.7,,,39.5,,,,,
179406,1794.459,,41.5,,,40.8,,,,,
179407,1794.543,,41.0,,,40.0,,,,,
179408,1794.628,,40.0,,,38.9,,,,,
179409,1794.710,,11.1,,,37.6,,,,,
179410,1794.795,,28.5,,,36.2,,,,,
179411,1794.877,,67.4,,,34.7,,,,,
179412,1794.962,,51.4,,,32.7,,,,,
179501,1795.047,,21.4,,,30.5,,,,,
179502,1795.127,,39.9,,,28.7,,,,,
179503,1795.209,,12.6,,,28.2,,,,,
179504,1795.291,,18.6,,,28.0,,,,,
179505,1795.376,,31.0,,,25.8,,,,,
179506,1795.458,,17.1,,,22.7,,,,,
179507,1795.543,,12.9,,,21.3,,,,,
179508,1795.628,,25.7,,,20.6,,,,,
179509,1795.710,,13.5,,,20.1,,,,,
179510,1795.795,,19.5,,,20.8,,,,,
179511,1795.877,,25.0,,,20.9,,,,,
179512,1795.962,,18.0,,,20.1,,,,,
179601,1796.047,,22.0,,,20.2,,,,,
179602,1796.129,,23.8,,,19.8,,,,,
179603,1796.211,,15.7,,,19.0,,,,,
179604,1796.293,,31.7,,,18.8,,,,,
179605,1796.378,,21.0,,,17.8,,,,,
179606,1796.460,,6.7,,,16.6,,,,,
179607,1796.545,,26.9,,,15.7,,,,,
179608,1796.630,,1.5,,,14.6,,,,,
